productId,supplierId,supplierName,name,sku,category,currentPrice,originalPrice,cost,stock,maxStock,minStockLevel,isPerishable,expirationDate,daysUntilExpiry,status,lastUpdated,updatedAt,history_price,history_reason,history_date
199d91c8-fcb9-4f9c-bd80-27d1d48aff67,ea7897fa-e382-4b3d-9a3a-44d0f9295540,Supplier 9,Chicken Breast,CHI-645,Meat,5.81,6.46,4.55,272,333,19,True,2025-07-21T14:28:43.699830,18,stable,2025-07-02T14:28:43.699852,2025-07-02T14:28:43.699852,5.81,Initial creation,2025-07-02T14:28:43.699852
e99ceca2-7fe7-405d-b943-ac93e6864c12,3995e366-8aaf-490c-b7b0-2b34d652ff2b,Supplier 7,Baguette,BAG-755,Bakery,3.2,3.76,2.39,0,77,46,False,,,low_stock,2025-07-02T14:28:43.700003,2025-07-02T14:28:43.700003,3.2,Initial creation,2025-07-02T14:28:43.700003
1c0fde24-71b1-4109-aebe-b95a6d08e723,4c670941-8123-471c-bfdd-7960ca0ca95e,Supplier 9,Bagels,BAG-313,Bakery,4.62,4.75,3.59,268,355,33,False,,,stable,2025-07-02T14:28:43.700168,2025-07-02T14:28:43.700168,4.62,Initial creation,2025-07-02T14:28:43.700168
fb8498bf-0063-4033-ad14-6cce74b132ad,69660683-81b0-46e7-9069-72ef30a411be,Supplier 7,Bagels,BAG-571,Bakery,2.96,3.36,1.92,127,209,20,False,,,stable,2025-07-02T14:28:43.700713,2025-07-02T14:28:43.700713,2.96,Initial creation,2025-07-02T14:28:43.700713
0ac1f0a3-3646-4fd9-ba7b-fb4ffe2ae0a4,05cb99c7-2c92-48a3-b85f-be3fc7659e29,Supplier 5,Orange Juice,ORA-759,Beverages,6.75,7.64,5.3,27,81,40,False,,,low_stock,2025-07-02T14:28:43.700885,2025-07-02T14:28:43.700885,6.75,Initial creation,2025-07-02T14:28:43.700885
2e2abd6c-3fd0-48e3-896e-fee3c77c6e1b,2a7892fb-c60a-4142-b1c6-9f835056df54,Supplier 8,Chicken Breast,CHI-366,Meat,9.3,9.6,8.21,278,337,14,True,2025-07-08T14:28:43.700986,5,stable,2025-07-02T14:28:43.701003,2025-07-02T14:28:43.701003,9.3,Initial creation,2025-07-02T14:28:43.701003
ce85a817-0a9d-4efa-a303-6c185cb716cb,8b1e2eee-f577-4a8b-9384-72419096e1f1,Supplier 5,Cream,CRE-741,Dairy,8.35,8.47,7.02,73,149,38,True,2025-07-15T14:28:43.701376,12,stable,2025-07-02T14:28:43.701391,2025-07-02T14:28:43.701391,8.35,Initial creation,2025-07-02T14:28:43.701391
8e2d9a22-7f3e-4b9a-b155-dac977cfb02b,b427343c-2e3e-4e1b-acfd-549f8fb4affd,Supplier 4,Butter,BUT-223,Dairy,1.99,2.0,1.75,106,160,11,True,2025-07-10T14:28:43.701467,7,stable,2025-07-02T14:28:43.701477,2025-07-02T14:28:43.701477,1.99,Initial creation,2025-07-02T14:28:43.701477
bbaad0f2-ef0c-4e28-bb42-b512530e9f5a,b40fa77f-7c85-4fd1-a000-dab6b80d4bc9,Supplier 4,Greek Yogurt,GRE-701,Dairy,4.4,4.86,3.53,262,283,47,True,2025-07-30T14:28:43.701736,27,stable,2025-07-02T14:28:43.701748,2025-07-02T14:28:43.701748,4.4,Initial creation,2025-07-02T14:28:43.701748
dc7745f3-dd4b-41f2-ade2-a271bdae0fb4,d0bb41ef-9410-436b-a96a-07f6c8a91d5d,Supplier 1,Bagels,BAG-552,Bakery,4.26,4.65,3.58,187,223,30,False,,,stable,2025-07-02T14:28:43.701798,2025-07-02T14:28:43.701798,4.26,Initial creation,2025-07-02T14:28:43.701798
84cd8d2b-12f7-45a8-9ad6-f960278428c6,cf8311cf-7910-43bd-ad05-60832aa10cb9,Supplier 10,Muffins,MUF-504,Bakery,6.31,6.84,4.43,100,140,15,False,,,stable,2025-07-02T14:28:43.701860,2025-07-02T14:28:43.701860,6.31,Initial creation,2025-07-02T14:28:43.701860
1596fac6-c0cf-4590-9afb-927cd9daf4e0,82189672-48b9-40e1-ba97-0baba828a281,Supplier 10,Tomatoes,TOM-755,Vegetables,8.21,8.87,6.43,56,141,40,True,2025-07-30T14:28:43.701927,27,stable,2025-07-02T14:28:43.701937,2025-07-02T14:28:43.701937,8.21,Initial creation,2025-07-02T14:28:43.701937
